ZONE_DIST_TYPE,SHAPE_Area
Commercial Mixed Use,0.11149602011719073
Industrial,0.19210605454682167
O-1,8.276155458051156e-06
Open Space,0.06878390287103953
PUD,0.01006251910048477
Residential,0.6175432272090052
